4.800,4.800,959.000
6.875,1.600,900.000
7.250,1.600,900.000
7.625,1.600,900.000
8.000,1.600,900.000
6.125,1.975,901.000
6.500,1.975,900.000
6.875,1.975,900.000
7.250,1.975,900.000
7.625,1.975,900.000
8.000,1.975,900.000
5.750,2.350,905.000
6.125,2.350,902.000
6.500,2.350,901.000
6.875,2.350,900.000
7.250,2.350,900.000
7.625,2.350,900.000
8.000,2.350,900.000
5.750,2.725,907.000
6.125,2.725,903.000
6.500,2.725,902.000
6.875,2.725,901.000
7.250,2.725,901.000
7.625,2.725,900.000
8.000,2.725,900.000
5.375,3.100,915.000
5.750,3.100,909.000
6.125,3.100,908.000
6.500,3.100,907.000
6.875,3.100,903.000
7.250,3.100,902.000
7.625,3.100,901.000
8.000,3.100,901.000
5.375,3.475,922.000
5.750,3.475,916.000
6.125,3.475,917.000
6.500,3.475,907.000
6.875,3.475,909.000
7.250,3.475,906.000
7.625,3.475,905.000
8.000,3.475,904.000
5.000,3.850,939.000
5.375,3.850,933.000
5.750,3.850,923.000
6.125,3.850,924.000
6.500,3.850,923.000
6.875,3.850,916.000
7.250,3.850,912.000
7.625,3.850,912.000
8.000,3.850,913.000
5.000,4.225,944.000
5.375,4.225,940.000
5.750,4.225,940.000
6.125,4.225,932.000
6.500,4.225,935.000
6.875,4.225,930.000
7.250,4.225,930.000
7.625,4.225,917.000
8.000,4.225,921.000
5.000,4.600,943.000
5.375,4.600,958.000
5.750,4.600,937.000
6.125,4.600,941.000
6.500,4.600,930.000
6.875,4.600,934.000
3.850,5.000,936.000
4.225,5.000,934.000
4.600,5.000,955.000
3.100,5.375,929.000
3.475,5.375,924.000
3.850,5.375,941.000
4.225,5.375,942.000
4.600,5.375,965.000
2.350,5.750,913.000
2.725,5.750,916.000
3.100,5.750,917.000
3.475,5.750,924.000
3.850,5.750,938.000
4.225,5.750,923.000
4.600,5.750,963.000
1.975,6.125,905.000
2.350,6.125,907.000
2.725,6.125,908.000
3.100,6.125,915.000
3.475,6.125,923.000
3.850,6.125,927.000
4.225,6.125,935.000
4.600,6.125,985.000
1.975,6.500,903.000
2.350,6.500,904.000
2.725,6.500,905.000
3.100,6.500,906.000
3.475,6.500,911.000
3.850,6.500,926.000
4.225,6.500,943.000
4.600,6.500,967.000
1.600,6.875,900.000
1.975,6.875,901.000
2.350,6.875,901.000
2.725,6.875,905.000
3.100,6.875,906.000
3.475,6.875,912.000
3.850,6.875,918.000
4.225,6.875,940.000
4.600,6.875,937.000
1.600,7.250,900.000
1.975,7.250,900.000
2.350,7.250,900.000
2.725,7.250,902.000
3.100,7.250,903.000
3.475,7.250,908.000
3.850,7.250,915.000
4.225,7.250,916.000
1.600,7.625,900.000
1.975,7.625,900.000
2.350,7.625,901.000
2.725,7.625,901.000
3.100,7.625,902.000
3.475,7.625,906.000
3.850,7.625,915.000
4.225,7.625,925.000
1.600,8.000,900.000
1.975,8.000,900.000
2.350,8.000,900.000
2.725,8.000,901.000
3.100,8.000,901.000
3.475,8.000,906.000
3.850,8.000,918.000
4.225,8.000,938.000
