6.000,4.750,529.000
4.650,6.000,507.000
6.000,4.500,433.000
4.400,6.000,449.000
0,0,0
6.000,3.000,384.000
5.600,3.000,434.000
6.000,3.500,389.000
3.600,6.000,509.000
0,0,0
3.600,6.000,511.000
4.000,6.000,506.000
4.400,6.000,427.000
3.600,5.500,375.000
0,0,0
6.000,3.000,419.000
6.000,3.500,458.000
5.600,3.000,417.000
6.000,4.000,431.000
0,0,0
3.600,6.000,512.000
6.000,3.000,378.000
4.000,6.000,475.000
4.400,6.000,459.000
0,0,0
6.000,3.000,435.000
3.600,6.000,494.000
6.000,3.500,388.000
4.000,6.000,483.000
0,0,0
6.000,3.000,389.000
3.600,6.000,535.000
6.000,3.500,412.000
4.000,6.000,510.000
0,0,0
6.000,3.000,376.000
3.600,6.000,478.000
6.000,3.500,453.000
4.000,6.000,478.000
0,0,0
6.000,3.000,382.000
3.600,6.000,524.000
6.000,3.500,355.000
4.000,6.000,456.000
0,0,0
6.000,3.000,365.000
3.600,6.000,496.000
6.000,3.500,500.000
4.000,6.000,476.000
0,0,0
