3.000,6.000,5.600,4.600,1015.000
3.000,8.000,3.600,4.600,989.000
3.000,8.000,4.200,4.000,895.000
3.000,8.000,4.800,3.400,865.000
3.000,8.000,5.200,3.000,798.000
3.000,8.000,5.600,2.600,795.000
3.600,5.200,5.600,4.800,1123.000
3.600,5.600,5.200,4.800,1129.000
3.600,5.600,5.600,4.400,1014.000
3.600,6.000,4.800,4.800,1187.000
3.600,6.000,5.200,4.400,1032.000
3.600,6.000,5.600,4.000,970.000
3.600,8.000,3.000,4.600,1017.000
3.600,8.000,3.600,4.000,936.000
3.600,8.000,4.200,3.400,857.000
3.600,8.000,4.800,2.800,820.000
3.600,8.000,5.200,2.400,754.000
3.600,8.000,5.600,2.000,751.000
4.200,4.800,5.600,4.600,1121.000
4.200,5.200,5.200,4.600,1090.000
4.200,5.200,5.600,4.200,1085.000
4.200,5.600,4.800,4.600,1130.000
4.200,5.600,5.200,4.200,1088.000
4.200,5.600,5.600,3.800,1012.000
4.200,6.000,4.200,4.800,1201.000
4.200,6.000,4.800,4.200,1063.000
4.200,6.000,5.200,3.800,1026.000
4.200,6.000,5.600,3.400,985.000
4.200,8.000,3.000,4.000,929.000
4.200,8.000,3.600,3.400,867.000
4.200,8.000,4.200,2.800,807.000
4.200,8.000,4.800,2.200,759.000
4.200,8.000,5.200,1.800,748.000
4.200,8.000,5.600,1.400,697.000
4.800,4.200,5.600,4.600,1154.000
4.800,4.800,5.200,4.400,1071.000
4.800,4.800,5.600,4.000,1005.000
4.800,5.200,4.800,4.400,1074.000
4.800,5.200,5.200,4.000,1019.000
4.800,5.200,5.600,3.600,1026.000
4.800,5.600,4.200,4.600,1164.000
4.800,5.600,4.800,4.000,1052.000
4.800,5.600,5.200,3.600,1027.000
4.800,5.600,5.600,3.200,915.000
4.800,6.000,3.600,4.800,1250.000
4.800,6.000,4.200,4.200,1088.000
4.800,6.000,4.800,3.600,979.000
4.800,6.000,5.200,3.200,925.000
4.800,6.000,5.600,2.800,914.000
4.800,8.000,3.000,3.400,1117.000
4.800,8.000,3.600,2.800,1013.000
4.800,8.000,4.200,2.200,901.000
4.800,8.000,4.800,1.600,807.000
4.800,8.000,5.200,1.200,787.000
4.800,8.000,5.600,0.800,720.000
5.200,3.600,5.600,4.800,1212.000
5.200,4.200,5.200,4.600,1138.000
5.200,4.200,5.600,4.200,1133.000
5.200,4.800,4.800,4.400,1091.000
5.200,4.800,5.200,4.000,1035.000
5.200,4.800,5.600,3.600,1042.000
5.200,5.200,4.200,4.600,1144.000
5.200,5.200,4.800,4.000,1036.000
5.200,5.200,5.200,3.600,1012.000
5.200,5.200,5.600,3.200,903.000
5.200,5.600,3.600,4.800,1211.000
5.200,5.600,4.200,4.200,1058.000
5.200,5.600,4.800,3.600,1000.000
5.200,5.600,5.200,3.200,904.000
5.200,5.600,5.600,2.800,893.000
5.200,6.000,3.600,4.400,1113.000
5.200,6.000,4.200,3.800,1065.000
5.200,6.000,4.800,3.200,938.000
5.200,6.000,5.200,2.800,903.000
5.200,6.000,5.600,2.400,811.000
5.200,8.000,3.000,3.000,841.000
5.200,8.000,3.600,2.400,778.000
5.200,8.000,4.200,1.800,741.000
5.200,8.000,4.800,1.200,698.000
5.200,8.000,5.200,0.800,657.000
