sim mode,gamma,epsilon,beta,seed,mean lifetime,
hi,0.2,0.5,103.09278,7,1173,
hi,0.2,0.5,103.09278,8,1145,
hi,0.2,0.5,103.09278,9,1145,
hi,0.2,0.6,16.55629,0,1173,
hi,0.2,0.6,16.55629,1,1145,
hi,0.2,0.6,16.55629,2,1145,
hi,0.2,0.6,16.55629,3,1165,
hi,0.2,0.6,16.55629,4,1154,
hi,0.2,0.6,16.55629,5,1145,
hi,0.2,0.6,16.55629,6,1145,
hi,0.2,0.6,16.55629,7,1154,
hi,0.2,0.6,16.55629,8,1145,
hi,0.2,0.6,16.55629,9,1145,
hi,0.2,0.7,3.54107,0,1173,
hi,0.2,0.7,3.54107,1,1145,
hi,0.2,0.7,3.54107,2,1145,
hi,0.2,0.7,3.54107,3,1208,
hi,0.2,0.7,3.54107,4,1145,
hi,0.2,0.7,3.54107,5,1145,
hi,0.2,0.7,3.54107,6,1145,
hi,0.2,0.7,3.54107,7,1154,
hi,0.2,0.7,3.54107,8,1165,
hi,0.2,0.7,3.54107,9,1145,
hi,0.2,0.75,1.77588,0,1145,
hi,0.2,0.75,1.77588,1,1145,
hi,0.2,0.75,1.77588,2,1145,
hi,0.2,0.75,1.77588,3,1208,
hi,0.2,0.75,1.77588,4,1145,
hi,0.2,0.75,1.77588,5,1145,
hi,0.2,0.75,1.77588,6,1145,
hi,0.2,0.75,1.77588,7,1154,
hi,0.2,0.75,1.77588,8,1145,
hi,0.2,0.75,1.77588,9,1145,
hi,0.2,0.8,0.93135,0,1145,
hi,0.2,0.8,0.93135,1,1145,
hi,0.2,0.8,0.93135,2,1145,
hi,0.2,0.8,0.93135,3,1208,
hi,0.2,0.8,0.93135,4,1145,
hi,0.2,0.8,0.93135,5,1145,
hi,0.2,0.8,0.93135,6,1145,
hi,0.2,0.8,0.93135,7,1154,
hi,0.2,0.8,0.93135,8,1145,
hi,0.2,0.8,0.93135,9,1145,
hi,0.2,0.85,0.50794,0,1145,
hi,0.2,0.85,0.50794,1,1145,
hi,0.2,0.85,0.50794,2,1145,
hi,0.2,0.85,0.50794,3,1208,
hi,0.2,0.85,0.50794,4,1145,
