sim mode,gamma,epsilon,beta,seed,mean lifetime
lo,0.2,0.85,0.50794,8,953
lo,0.2,0.85,0.50794,9,940
lo,0.2,0.9,0.2868,0,931
lo,0.2,0.9,0.2868,1,929
lo,0.2,0.9,0.2868,2,938
lo,0.2,0.9,0.2868,3,929
lo,0.2,0.9,0.2868,4,927
lo,0.2,0.9,0.2868,5,943
lo,0.2,0.9,0.2868,6,929
lo,0.2,0.9,0.2868,7,931
lo,0.2,0.9,0.2868,8,937
lo,0.2,0.9,0.2868,9,937
lo,0.5,0.7,3.54107,0,941
lo,0.5,0.7,3.54107,1,941
lo,0.5,0.7,3.54107,2,941
lo,0.5,0.7,3.54107,3,941
lo,0.5,0.7,3.54107,4,937
lo,0.5,0.7,3.54107,5,941
lo,0.5,0.7,3.54107,6,929
lo,0.5,0.7,3.54107,7,938
lo,0.5,0.7,3.54107,8,945
lo,0.5,0.7,3.54107,9,941
lo,0.5,0.75,1.77588,0,942
lo,0.5,0.75,1.77588,1,929
lo,0.5,0.75,1.77588,2,941
lo,0.5,0.75,1.77588,3,941
lo,0.5,0.75,1.77588,4,932
lo,0.5,0.75,1.77588,5,941
lo,0.5,0.75,1.77588,6,929
lo,0.5,0.75,1.77588,7,938
lo,0.5,0.75,1.77588,8,951
lo,0.5,0.75,1.77588,9,941
lo,0.5,0.8,0.93135,0,942
lo,0.5,0.8,0.93135,1,941
lo,0.5,0.8,0.93135,2,941
lo,0.5,0.8,0.93135,3,941
lo,0.5,0.8,0.93135,4,932
lo,0.5,0.8,0.93135,5,941
lo,0.5,0.8,0.93135,6,929
lo,0.5,0.8,0.93135,7,938
lo,0.5,0.8,0.93135,8,944
lo,0.5,0.8,0.93135,9,941
lo,0.5,0.85,0.50794,0,940
lo,0.5,0.85,0.50794,1,938
lo,0.5,0.85,0.50794,2,942
lo,0.5,0.85,0.50794,3,941
lo,0.5,0.85,0.50794,4,940
lo,0.5,0.85,0.50794,5,941
lo,0.5,0.85,0.50794,6,929
lo,0.5,0.85,0.50794,7,938
lo,0.5,0.85,0.50794,8,941
lo,0.5,0.85,0.50794,9,941
lo,0.5,0.9,0.2868,0,936
lo,0.5,0.9,0.2868,1,911
lo,0.5,0.9,0.2868,2,941
lo,0.5,0.9,0.2868,3,929
lo,0.5,0.9,0.2868,4,929
lo,0.5,0.9,0.2868,5,941
lo,0.5,0.9,0.2868,6,929
lo,0.5,0.9,0.2868,7,937
lo,0.5,0.9,0.2868,8,941
lo,0.5,0.9,0.2868,9,941
lo,1,0.7,3.54107,0,941
lo,1,0.7,3.54107,1,909
lo,1,0.7,3.54107,2,941
lo,1,0.7,3.54107,3,941
lo,1,0.7,3.54107,4,941
lo,1,0.7,3.54107,5,941
lo,1,0.7,3.54107,6,932
lo,1,0.7,3.54107,7,938
lo,1,0.7,3.54107,8,937
lo,1,0.7,3.54107,9,941
lo,1,0.75,1.77588,0,941
lo,1,0.75,1.77588,1,922
lo,1,0.75,1.77588,2,941
lo,1,0.75,1.77588,3,941
lo,1,0.75,1.77588,4,941
lo,1,0.75,1.77588,5,932
lo,1,0.75,1.77588,6,941
lo,1,0.75,1.77588,7,912
lo,1,0.75,1.77588,8,941
lo,1,0.75,1.77588,9,941
lo,1,0.8,0.93135,0,941
lo,1,0.8,0.93135,1,909
lo,1,0.8,0.93135,2,941
lo,1,0.8,0.93135,3,941
lo,1,0.8,0.93135,4,941
lo,1,0.8,0.93135,5,937
lo,1,0.8,0.93135,6,929
lo,1,0.8,0.93135,7,939
lo,1,0.8,0.93135,8,941
lo,1,0.8,0.93135,9,941
lo,1,0.85,0.50794,0,909
