sim mode,gamma,epsilon,beta,seed,mean lifetime,
lo,0.2,0.85,0.50794,2,929,
lo,0.2,0.85,0.50794,3,926,
lo,0.2,0.85,0.50794,4,937,
lo,0.2,0.85,0.50794,5,937,
lo,0.2,0.85,0.50794,6,924,
lo,0.2,0.85,0.50794,7,929,
lo,0.2,0.85,0.50794,8,929,
lo,0.2,0.85,0.50794,9,929,
lo,0.2,0.9,0.2868,0,929,
lo,0.2,0.9,0.2868,1,905,
lo,0.2,0.9,0.2868,2,926,
lo,0.2,0.9,0.2868,3,937,
lo,0.2,0.9,0.2868,4,930,
lo,0.2,0.9,0.2868,5,937,
lo,0.2,0.9,0.2868,6,929,
lo,0.2,0.9,0.2868,7,931,
lo,0.2,0.9,0.2868,8,920,
lo,0.2,0.9,0.2868,9,929,
lo,0.5,0.7,3.54107,0,945,
lo,0.5,0.7,3.54107,1,929,
lo,0.5,0.7,3.54107,2,929,
lo,0.5,0.7,3.54107,3,929,
lo,0.5,0.7,3.54107,4,940,
lo,0.5,0.7,3.54107,5,937,
lo,0.5,0.7,3.54107,6,926,
lo,0.5,0.7,3.54107,7,941,
lo,0.5,0.7,3.54107,8,937,
lo,0.5,0.7,3.54107,9,937,
lo,0.5,0.75,1.77588,0,937,
lo,0.5,0.75,1.77588,1,929,
lo,0.5,0.75,1.77588,2,929,
lo,0.5,0.75,1.77588,3,929,
lo,0.5,0.75,1.77588,4,937,
lo,0.5,0.75,1.77588,5,938,
lo,0.5,0.75,1.77588,6,926,
lo,0.5,0.75,1.77588,7,929,
lo,0.5,0.75,1.77588,8,937,
lo,0.5,0.75,1.77588,9,937,
lo,0.5,0.8,0.93135,0,929,
lo,0.5,0.8,0.93135,1,929,
lo,0.5,0.8,0.93135,2,929,
lo,0.5,0.8,0.93135,3,929,
lo,0.5,0.8,0.93135,4,912,
lo,0.5,0.8,0.93135,5,930,
lo,0.5,0.8,0.93135,6,926,
lo,0.5,0.8,0.93135,7,936,
lo,0.5,0.8,0.93135,8,937,
lo,0.5,0.8,0.93135,9,941,
lo,0.5,0.85,0.50794,0,929,
lo,0.5,0.85,0.50794,1,929,
lo,0.5,0.85,0.50794,2,929,
lo,0.5,0.85,0.50794,3,929,
lo,0.5,0.85,0.50794,4,930,
lo,0.5,0.85,0.50794,5,938,
lo,0.5,0.85,0.50794,6,926,
lo,0.5,0.85,0.50794,7,929,
lo,0.5,0.85,0.50794,8,937,
lo,0.5,0.85,0.50794,9,941,
lo,0.5,0.9,0.2868,0,944,
lo,0.5,0.9,0.2868,1,929,
lo,0.5,0.9,0.2868,2,917,
lo,0.5,0.9,0.2868,3,929,
lo,0.5,0.9,0.2868,4,930,
lo,0.5,0.9,0.2868,5,938,
lo,0.5,0.9,0.2868,6,926,
lo,0.5,0.9,0.2868,7,929,
lo,0.5,0.9,0.2868,8,937,
lo,0.5,0.9,0.2868,9,937,
lo,1.0,0.7,3.54107,0,938,
lo,1.0,0.7,3.54107,1,936,
lo,1.0,0.7,3.54107,2,932,
lo,1.0,0.7,3.54107,3,936,
lo,1.0,0.7,3.54107,4,922,
lo,1.0,0.7,3.54107,5,941,
lo,1.0,0.7,3.54107,6,936,
lo,1.0,0.7,3.54107,7,941,
lo,1.0,0.7,3.54107,8,929,
lo,1.0,0.7,3.54107,9,941,
lo,1.0,0.75,1.77588,0,936,
lo,1.0,0.75,1.77588,1,916,
lo,1.0,0.75,1.77588,2,936,
lo,1.0,0.75,1.77588,3,936,
lo,1.0,0.75,1.77588,4,922,
lo,1.0,0.75,1.77588,5,941,
lo,1.0,0.75,1.77588,6,936,
lo,1.0,0.75,1.77588,7,937,
lo,1.0,0.75,1.77588,8,944,
lo,1.0,0.75,1.77588,9,941,
lo,1.0,0.8,0.93135,0,937,
lo,1.0,0.8,0.93135,1,909,
lo,1.0,0.8,0.93135,2,938,
lo,1.0,0.8,0.93135,3,941,
lo,1.0,0.8,0.93135,4,929,
lo,1.0,0.8,0.93135,5,930,
lo,1.0,0.8,0.93135,6,929,
lo,1.0,0.8,0.93135,7,941,
lo,1.0,0.8,0.93135,8,929,
lo,1.0,0.8,0.93135,9,941,
lo,1.0,0.85,0.50794,0,937,
lo,1.0,0.85,0.50794,1,925,
lo,1.0,0.85,0.50794,2,938,
lo,1.0,0.85,0.50794,3,941,
lo,1.0,0.85,0.50794,4,929,
lo,1.0,0.85,0.50794,5,937,
lo,1.0,0.85,0.50794,6,936,
lo,1.0,0.85,0.50794,7,942,
lo,1.0,0.85,0.50794,8,944,
lo,1.0,0.85,0.50794,9,941,
lo,1.0,0.9,0.2868,0,930,
lo,1.0,0.9,0.2868,1,924,
lo,1.0,0.9,0.2868,2,929,
lo,1.0,0.9,0.2868,3,941,
lo,1.0,0.9,0.2868,4,944,
lo,1.0,0.9,0.2868,5,937,
lo,1.0,0.9,0.2868,6,945,
lo,1.0,0.9,0.2868,7,929,
lo,1.0,0.9,0.2868,8,941,
lo,1.0,0.9,0.2868,9,941,
lo,10.0,0.7,3.54107,0,936,
lo,10.0,0.7,3.54107,1,924,
lo,10.0,0.7,3.54107,2,939,
lo,10.0,0.7,3.54107,3,940,
lo,10.0,0.7,3.54107,4,936,
lo,10.0,0.7,3.54107,5,940,
lo,10.0,0.7,3.54107,6,942,
lo,10.0,0.7,3.54107,7,937,
lo,10.0,0.7,3.54107,8,942,
lo,10.0,0.7,3.54107,9,937,
lo,10.0,0.75,1.77588,0,936,
lo,10.0,0.75,1.77588,1,941,
lo,10.0,0.75,1.77588,2,939,
lo,10.0,0.75,1.77588,3,940,
lo,10.0,0.75,1.77588,4,936,
lo,10.0,0.75,1.77588,5,937,
lo,10.0,0.75,1.77588,6,940,
lo,10.0,0.75,1.77588,7,937,
lo,10.0,0.75,1.77588,8,942,
lo,10.0,0.75,1.77588,9,928,
lo,10.0,0.8,0.93135,0,936,
lo,10.0,0.8,0.93135,1,923,
lo,10.0,0.8,0.93135,2,936,
lo,10.0,0.8,0.93135,3,940,
lo,10.0,0.8,0.93135,4,942,
lo,10.0,0.8,0.93135,5,939,
lo,10.0,0.8,0.93135,6,925,
lo,10.0,0.8,0.93135,7,937,
lo,10.0,0.8,0.93135,8,951,
lo,10.0,0.8,0.93135,9,925,
lo,10.0,0.85,0.50794,0,939,
lo,10.0,0.85,0.50794,1,945,
lo,10.0,0.85,0.50794,2,925,
lo,10.0,0.85,0.50794,3,930,
lo,10.0,0.85,0.50794,4,936,
lo,10.0,0.85,0.50794,5,936,
lo,10.0,0.85,0.50794,6,945,
lo,10.0,0.85,0.50794,7,957,
lo,10.0,0.85,0.50794,8,939,
lo,10.0,0.85,0.50794,9,925,
lo,10.0,0.9,0.2868,0,944,
lo,10.0,0.9,0.2868,1,951,
lo,10.0,0.9,0.2868,2,923,
lo,10.0,0.9,0.2868,3,941,
lo,10.0,0.9,0.2868,4,936,
lo,10.0,0.9,0.2868,5,936,
lo,10.0,0.9,0.2868,6,938,
lo,10.0,0.9,0.2868,7,945,
lo,10.0,0.9,0.2868,8,942,
lo,10.0,0.9,0.2868,9,926,
lo,20.0,0.7,3.54107,0,940,
lo,20.0,0.7,3.54107,1,909,
lo,20.0,0.7,3.54107,2,939,
lo,20.0,0.7,3.54107,3,951,
lo,20.0,0.7,3.54107,4,914,
lo,20.0,0.7,3.54107,5,926,
lo,20.0,0.7,3.54107,6,926,
lo,20.0,0.7,3.54107,7,925,
lo,20.0,0.7,3.54107,8,941,
lo,20.0,0.7,3.54107,9,923,
lo,20.0,0.75,1.77588,0,933,
lo,20.0,0.75,1.77588,1,938,
lo,20.0,0.75,1.77588,2,939,
lo,20.0,0.75,1.77588,3,951,
lo,20.0,0.75,1.77588,4,903,
lo,20.0,0.75,1.77588,5,926,
lo,20.0,0.75,1.77588,6,927,
lo,20.0,0.75,1.77588,7,915,
lo,20.0,0.75,1.77588,8,943,
lo,20.0,0.75,1.77588,9,923,
lo,20.0,0.8,0.93135,0,933,
lo,20.0,0.8,0.93135,1,914,
lo,20.0,0.8,0.93135,2,909,
lo,20.0,0.8,0.93135,3,951,
